feature,importance
증감율_이용금액_신용_분기,0.0020076306264002757
_1순위납부업종_이용금액,0.0019660583742232064
이용건수_일시불_B0M,0.001965356817627022
거주시도명,0.00196224805829867
이용개월수_CA_R12M,0.0019584894072627746
포인트_이용포인트_R12M,0.001956738361958056
쇼핑_온라인_이용금액,0.0019508189575798709
이용금액_온라인_R3M,0.0019436077587021172
평잔_할부_6M,0.0019364991974926485
할부금액_6M_R12M,0.0019243981532316237
이용금액_CA_B0M,0.0019008509602351498
일시상환론한도금액,0.001892671658928387
증감율_이용건수_일시불_분기,0.0018898284725342503
증감율_이용금액_신판_전월,0.0018822539300525386
이용금액_간편결제_B0M,0.0018759706485889933
증감율_이용건수_신판_분기,0.0018757659167591373
이용금액_간편결제_R3M,0.001874501109660324
RP금액_B0M,0.0018600397166373087
